starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 08 17:37:41 2021	1631115461	0	371	371	371
Wed Sep 08 17:37:43 2021	1631115463	0	371	372	242
Wed Sep 08 17:37:39 2021	1631115459	0	372	372	371
Wed Sep 08 17:37:46 2021	1631115466	0	374	374	283
Wed Sep 08 17:37:53 2021	1631115473	0	376	376	359
Wed Sep 08 17:37:52 2021	1631115472	0	376	376	375
Wed Sep 08 17:37:44 2021	1631115464	0	377	377	376
Wed Sep 08 17:37:44 2021	1631115464	0	377	377	376
Wed Sep 08 17:37:53 2021	1631115473	0	381	382	381
Wed Sep 08 17:37:43 2021	1631115463	0	382	382	381
Wed Sep 08 17:37:49 2021	1631115469	0	382	382	382
Wed Sep 08 17:37:41 2021	1631115461	0	383	383	382
Wed Sep 08 17:37:52 2021	1631115472	0	385	385	385
Wed Sep 08 17:37:54 2021	1631115474	0	385	385	385
Wed Sep 08 17:37:38 2021	1631115458	5	384	389	383
Wed Sep 08 17:37:54 2021	1631115474	0	390	390	389
Wed Sep 08 17:37:39 2021	1631115459	0	391	391	389
Wed Sep 08 17:37:56 2021	1631115476	0	391	391	390
Wed Sep 08 17:37:50 2021	1631115470	0	391	391	391
Wed Sep 08 17:37:52 2021	1631115472	0	392	392	391
Wed Sep 08 17:37:46 2021	1631115466	0	392	392	391
Wed Sep 08 17:37:52 2021	1631115472	0	392	392	391
Wed Sep 08 17:37:43 2021	1631115463	0	393	393	392
Wed Sep 08 17:37:50 2021	1631115470	0	395	395	395
Wed Sep 08 17:37:54 2021	1631115474	0	397	397	397
Wed Sep 08 17:37:56 2021	1631115476	0	399	399	392
Wed Sep 08 17:37:44 2021	1631115464	0	399	399	398
Wed Sep 08 17:37:51 2021	1631115471	0	399	399	381
Wed Sep 08 17:37:49 2021	1631115469	0	400	400	399
Wed Sep 08 17:37:50 2021	1631115470	0	400	400	399
Wed Sep 08 17:37:39 2021	1631115459	0	400	401	400
Wed Sep 08 17:37:41 2021	1631115461	0	403	403	402
Wed Sep 08 17:37:41 2021	1631115461	0	403	403	402
Wed Sep 08 17:37:38 2021	1631115458	0	405	406	405
Wed Sep 08 17:37:56 2021	1631115476	0	406	406	406
Wed Sep 08 17:37:43 2021	1631115463	0	407	407	407
Wed Sep 08 17:37:52 2021	1631115472	0	407	407	406
Wed Sep 08 17:37:39 2021	1631115459	0	407	407	406
Wed Sep 08 17:37:48 2021	1631115468	0	408	408	407
Wed Sep 08 17:37:41 2021	1631115461	0	408	408	407
Wed Sep 08 17:37:41 2021	1631115461	0	408	408	407
Wed Sep 08 17:37:42 2021	1631115462	0	408	409	408
Wed Sep 08 17:37:41 2021	1631115461	0	409	409	408
Wed Sep 08 17:37:47 2021	1631115467	0	410	410	409
Wed Sep 08 17:37:42 2021	1631115462	0	411	411	411
Wed Sep 08 17:37:39 2021	1631115459	0	413	413	412
Wed Sep 08 17:37:42 2021	1631115462	0	413	413	412
