starttime	seconds	ctime	dtime	ttime	wait
Wed Sep 08 17:37:44 2021	1631115464	0	631	632	631
Wed Sep 08 17:37:54 2021	1631115474	0	632	632	631
Wed Sep 08 17:37:46 2021	1631115466	0	632	632	632
Wed Sep 08 17:37:45 2021	1631115465	0	637	638	637
Wed Sep 08 17:37:40 2021	1631115460	0	638	638	637
Wed Sep 08 17:37:40 2021	1631115460	0	638	638	638
Wed Sep 08 17:37:45 2021	1631115465	0	639	639	638
Wed Sep 08 17:37:54 2021	1631115474	0	639	639	614
Wed Sep 08 17:37:51 2021	1631115471	0	639	639	638
Wed Sep 08 17:37:52 2021	1631115472	0	641	641	640
Wed Sep 08 17:37:55 2021	1631115475	0	642	642	642
Wed Sep 08 17:37:51 2021	1631115471	0	643	643	642
Wed Sep 08 17:37:51 2021	1631115471	0	644	644	643
Wed Sep 08 17:37:43 2021	1631115463	0	644	644	644
Wed Sep 08 17:37:56 2021	1631115476	0	645	645	644
Wed Sep 08 17:37:38 2021	1631115458	0	645	645	644
Wed Sep 08 17:37:45 2021	1631115465	0	647	647	646
Wed Sep 08 17:37:47 2021	1631115467	0	647	647	647
Wed Sep 08 17:37:53 2021	1631115473	0	648	648	647
Wed Sep 08 17:37:47 2021	1631115467	0	648	649	648
Wed Sep 08 17:37:40 2021	1631115460	0	650	650	649
Wed Sep 08 17:37:56 2021	1631115476	0	651	651	650
Wed Sep 08 17:37:51 2021	1631115471	0	651	651	650
Wed Sep 08 17:37:48 2021	1631115468	0	652	652	651
Wed Sep 08 17:37:40 2021	1631115460	0	652	652	652
Wed Sep 08 17:37:45 2021	1631115465	0	653	653	653
Wed Sep 08 17:37:45 2021	1631115465	0	653	653	653
Wed Sep 08 17:37:38 2021	1631115458	7	647	654	647
Wed Sep 08 17:37:52 2021	1631115472	0	654	654	654
Wed Sep 08 17:37:41 2021	1631115461	0	655	655	654
Wed Sep 08 17:37:52 2021	1631115472	0	655	655	654
Wed Sep 08 17:37:43 2021	1631115463	0	655	655	519
Wed Sep 08 17:37:42 2021	1631115462	0	655	655	519
Wed Sep 08 17:37:41 2021	1631115461	0	655	656	655
Wed Sep 08 17:37:51 2021	1631115471	0	656	656	655
Wed Sep 08 17:37:48 2021	1631115468	0	656	656	654
Wed Sep 08 17:37:44 2021	1631115464	0	657	657	656
Wed Sep 08 17:37:47 2021	1631115467	0	657	657	656
Wed Sep 08 17:37:51 2021	1631115471	0	657	657	657
Wed Sep 08 17:37:56 2021	1631115476	0	657	657	656
Wed Sep 08 17:37:46 2021	1631115466	0	658	658	657
Wed Sep 08 17:37:47 2021	1631115467	0	658	658	657
Wed Sep 08 17:37:38 2021	1631115458	0	658	659	268
Wed Sep 08 17:37:45 2021	1631115465	0	660	660	659
Wed Sep 08 17:37:41 2021	1631115461	0	662	662	661
